Abstand[mm]    U[V]
0    0.133
0.25    0.138
0.5    0.17
0.75    0.201
1    0.2085
1.25    0.2
1.5    0.1872
1.75    0.1825
2    0.1903
2.25    0.2104
2.5    0.2406
2.75    0.2789
3    0.3203
3.25    0.3626
3.5    0.402
3.75    0.4357
4    0.4626
4.25    0.4816
4.5    0.4933
4.75    0.4981
5    0.4977
5.25    0.4909
5.5    0.4796
5.75    0.4652
6    0.449
6.25    0.4308
6.5    0.411
6.75    0.3908
7    0.371
7.25    0.35
7.5    0.3302
7.75    0.311
8    0.2929
8.25    0.2757
8.5    0.2587
8.75    0.2435
9    0.229
9.25    0.215
9.5    0.2028
9.75    0.1909
10    0.1797
10.25    0.1695
10.5    0.16
10.75    0.1511
11    0.1429
11.25    0.135
11.5    0.128
